,AAPL_flow,NVDA_flow,GOOGL_flow,AAPL_sentiment,NVDA_sentiment,GOOGL_sentiment,AAPL_risk,NVDA_risk,GOOGL_risk,AAPL_regime,NVDA_regime,GOOGL_regime
2025-01-23,,,,,,,-0.8858363195027977,-1.8777076548081182,-0.756011611020362,,,
2025-01-24,,,,,,,-1.1310701749392345,-1.56669609974888,0.9510815104103991,,,
2025-01-27,,,,,,,-1.1146573507033604,-1.2502561247104804,1.8005141099140676,,,
2025-01-28,,,,,,,-1.124111610865253,-1.2063227964305752,0.8472017474425261,,,
2025-01-29,,,,,,,-1.0644070263757222,-1.1251846969128931,1.3664446632008114,,,
2025-01-30,,,,,,,-0.9746613542397871,-1.0551044539718388,1.0841165042202308,,,
2025-01-31,,,,,,,-0.9557470278570577,-0.9581660024973678,2.0120940567093144,,,
2025-02-03,,,,,,,-0.8743628215151035,-0.8683981891359249,-1.1014980081127763,,,
2025-02-04,,,,,,,-0.9132914091537985,-0.8628098309950611,-1.2010570162201035,,,
2025-02-05,,,,,,,-0.8711776889668129,-0.8815680576229581,-1.5120712202563706,,,
2025-02-06,,,,,,,-0.9249658741120876,-0.8547195515458959,-1.4282839059311019,,,
2025-02-07,,,,,,,-0.7275763792868248,-0.7489911275874955,-1.0881618608701917,,,
2025-02-10,,,,,,,-0.903339120922966,-0.7914624638083749,-1.2001772907752546,,,
2025-02-11,,,,,,,-0.912931059502979,-0.7576690660606081,-1.1577364738479743,,,
2025-02-12,,,,,,,-0.950856888504849,-0.7324881550171654,-1.1257676111695611,,,
2025-02-13,,,,,,,-0.9936178043478936,-0.7147732237294617,-1.209309896367332,,,
2025-02-14,,,,,,,-0.8593342774611923,-0.6823172173975199,-1.1546997036944242,,,
2025-02-18,,,,,,,-0.8466091724148024,-0.6328892502189393,-0.9306935875483642,,,
2025-02-19,,,,,,,-0.8578688070070325,-0.6601724819152114,-1.1458157746724045,,,
2025-02-20,,,,,,,-0.7898674060576877,-0.6294779285703913,-1.05389647911538,,,
2025-02-21,,,,,,,-0.5298030756947177,-0.4769731641036939,-0.5938643071249877,,,
2025-02-24,,,,,,,-0.36204824148307146,-0.5859968412742842,-0.5713980251646067,,,
2025-02-25,,,,,,,-0.4688866362483359,-0.5638531421482833,-0.6235803590915979,,,
2025-02-26,,,,,,,-0.5771159952889203,-0.7165127981217286,-0.4999982763849341,,,
2025-02-27,,,,,,,-0.33616097022110103,-0.5598524357141039,-0.05338505561237279,,,
2025-02-28,,,,,,,-0.06604930649333435,-0.5895213334126552,-0.3420220354916564,,,
2025-03-03,,,,,,,0.29667656266894776,-0.37975356967789425,0.3722113177689684,,,
2025-03-04,,,,,,,0.792486142994955,-0.3173074670337271,0.6278177458283664,,,
2025-03-05,,,,,,,0.5242998671660514,-0.4613627600856279,0.10084145591434594,,,
2025-03-06,,,,,,,1.0278942465498886,0.6978725634977375,0.6533384030867255,,,
2025-03-07,,,,,,,-0.009701391262811108,0.6587541281719332,0.626824628532404,,,
2025-03-10,,,,,,,0.5639280307530605,1.126407629087422,1.6775846263366792,,,
2025-03-11,,,,,,,0.9122104291675824,0.9685793433057078,1.465192786399269,,,
2025-03-12,,,,,,,0.34470223368538255,0.7846819374718539,1.0967660249281068,,,
2025-03-13,,,,,,,0.44561701764199135,0.9245333613714843,1.6859164449414417,,,
2025-03-14,,,,,,,-0.05506338179881072,0.5428103845987391,0.6398401040853807,,,
2025-03-17,,,,,,,0.009342761443051004,0.5042855424715363,0.3732316514054431,,,
2025-03-18,,,,,,,0.2554165126864475,0.6538909846028416,2.8280463152224193,,,
2025-03-19,,,,,,,0.06027584946586604,0.46055327825060705,2.206518010376376,,,
2025-03-20,,,,,,,-0.1582703570057927,0.43512588071839703,1.9985139581388298,,,
2025-03-21,,,,,,,-0.052640819182461523,0.2957656569594955,1.7439080432037652,,,
2025-03-24,,,,,,,-0.459878053420721,0.039382590077465966,0.6910177235622845,,,
2025-03-25,,,,,,,-0.2888118996644468,0.12337309773761487,0.6870727121449912,,,
2025-03-26,,,,,,,-0.04678601187860641,0.2864640215416547,0.2808217915840834,,,
2025-03-27,,,,,,,-0.04212742685031175,0.28822638136979156,0.3097167400871934,,,
2025-03-28,,,,,,,0.3768560793251675,0.6351445694811121,0.8978705642117006,,,
2025-03-31,,,,,,,0.3276938313917314,0.37560585619365433,0.9021210396721985,,,
2025-04-01,,,,,,,0.3275903412048425,0.23857828722580368,0.46993725100901257,,,
2025-04-02,,,,,,,-1.5068731665235724,0.06417580850431144,0.10501895616032211,,,
2025-04-03,,,,,,,-1.0226697492968777,1.0222284908315,2.057912832075917,,,
2025-04-04,,,,,,,-0.13488303644094493,0.7858094376174081,3.6654999136323503,,,
2025-04-07,,,,,,,-0.2801614381197962,0.9141202063874092,1.1420538743759192,,,
2025-04-08,,,,,,,-1.323975619129748,1.506096081628504,1.992640993743916,,,
2025-04-09,,,,,,,-2.2027578122647156,0.6043436989823154,-0.0666685770146291,,,
